Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Status
AA,01-01-2023,1646,N839AW,CLT,14:39,14:33,-6
AA,01-01-2023,2037,N828AW,CLT,17:57,18:00,3
AA,01-01-2023,2730,N668AW,CLT,11:05,11:02,-3
AA,01-01-2024,2850,N679AW,DFW,16:11,18:39,148
AA,01-02-2023,1646,N836AW,CLT,14:39,14:34,-5
AA,01-02-2023,2037,N717UW,CLT,17:57,17:56,-1
AA,01-02-2023,2651,N700UW,CLT,07:00,00:00,0
AA,01-02-2024,2850,N649AW,DFW,16:11,16:35,24
AA,01-03-2023,1646,N833AW,CLT,14:39,14:39,0
AA,01-03-2023,2037,N741UW,CLT,17:57,18:43,46
AA,01-03-2023,2651,N813AW,CLT,07:00,06:53,-7
AA,01-03-2024,2850,N663AW,DFW,16:11,16:21,10
AA,01-04-2023,1646,N742PS,CLT,14:39,19:01,262
AA,01-04-2023,2037,N806AW,CLT,17:57,00:00,0
AA,01-04-2023,2651,N102UW,CLT,07:00,07:18,18
AA,01-04-2024,2850,N128UW,DFW,16:11,16:26,15
AA,01-05-2023,1646,N755US,CLT,14:39,14:35,-4
AA,01-05-2023,2037,N738US,CLT,17:57,17:57,0
AA,01-05-2023,2651,N755US,CLT,07:00,06:55,-5
AA,01-05-2024,2850,N673AW,DFW,16:11,16:04,-7
AA,01-06-2023,1646,N840AW,CLT,14:39,14:36,-3
AA,01-06-2023,2037,N821AW,CLT,17:57,17:44,-13
AA,01-06-2023,2651,N771XF,CLT,07:00,07:37,37
AA,01-06-2024,2850,N107US,DFW,16:10,16:05,-5
AA,01-07-2023,1646,N744P,CLT,14:39,17:04,145
AA,01-07-2023,2037,N831AW,CLT,17:57,18:17,20
AA,01-07-2023,2651,N753US,CLT,07:00,06:58,-2
AA,01-07-2024,2850,N656AW,DFW,16:11,16:05,-6
AA,01-08-2023,1646,N764US,CLT,14:39,14:31,-8
AA,01-08-2023,2037,N825AW,CLT,17:57,17:43,-14
AA,01-08-2023,2651,N753US,CLT,07:00,06:58,-2
AA,01-09-2023,1646,N754UW,CLT,14:39,14:42,3
AA,01-09-2023,2037,N807AW,CLT,17:57,17:45,-12
AA,01-09-2023,2651,N754UW,CLT,07:00,06:56,-4
AA,01-10-2023,1646,N776XF,CLT,14:30,14:24,-6
AA,01-10-2023,2651,N776XF,CLT,07:00,06:55,-5
AA,01-10-2024,1086,N663AW,CLT,05:38,05:31,-7
AA,01-11-2023,1646,N705UW,CLT,14:30,15:08,38
AA,01-11-2023,2651,N679AW,CLT,07:00,09:42,162
AA,01-12-2023,1646,N702UW,CLT,14:30,14:30,0
AA,01-12-2023,2651,N754UW,CLT,07:00,07:00,0
AA,01/13/2023,1646,N807AW,CLT,14:30,14:30,0
AA,01/13/2023,2651,N756US,CLT,07:00,06:51,-9
AA,01/14/2023,2651,N817AW,CLT,07:27,07:24,-3
AA,01/14/2024,1086,N9002U,CLT,05:08,05:09,1
AA,01/15/2023,1646,N714US,CLT,14:30,14:26,-4
AA,01/15/2023,1720,N769US,CLT,11:08,11:06,-2
AA,01/16/2023,1646,N835AW,CLT,14:30,14:24,-6
AA,01/16/2023,2651,N732US,CLT,07:00,06:54,-6
AA,01/17/2023,1646,N745VJ,CLT,14:30,14:27,-3
AA,01/17/2023,2651,N802AW,CLT,07:00,06:59,-1
AA,01/17/2024,1086,N680AW,CLT,05:38,07:26,108
AA,01/18/2023,1646,N840AW,CLT,14:30,14:24,-6
AA,01/18/2023,2651,N802AW,CLT,07:00,07:50,50
AA,01/19/2023,1646,N831AW,CLT,14:30,14:25,-5
